countrycode|language|isofficial|percentage
AFG|Pashto|1|52.400002
NLD|Dutch|1|95.599998
ANT|Papiamento|1|86.199997
ALB|Albaniana|1|97.900002
DZA|Arabic|1|86
ASM|Samoan|1|90.599998
AND|Spanish|0|44.599998
AGO|Ovimbundu|0|37.200001
AIA|English|1|0
ATG|Creole English|0|95.699997
ARE|Arabic|1|42
ARG|Spanish|1|96.800003
ARM|Armenian|1|93.400002
ABW|Papiamento|0|76.699997
AUS|English|1|81.199997
AZE|Azerbaijani|1|89
BHS|Creole English|0|89.699997
BHR|Arabic|1|67.699997
BGD|Bengali|1|97.699997
BRB|Bajan|0|95.099998
BEL|Dutch|1|59.200001
BLZ|English|1|50.799999
BEN|Fon|0|39.799999
BMU|English|1|100
BTN|Dzongkha|1|50
BOL|Spanish|1|87.699997
BIH|Serbo-Croatian|1|99.199997
BWA|Tswana|0|75.5
BRA|Portuguese|1|97.5
GBR|English|1|97.300003
VGB|English|1|0
BRN|Malay|1|45.5
BGR|Bulgariana|1|83.199997
BFA|Mossi|0|50.200001
BDI|Kirundi|1|98.099998
CYM|English|1|0
CHL|Spanish|1|89.699997
COK|Maori|1|0
CRI|Spanish|1|97.5
DJI|Somali|0|43.900002
DMA|Creole English|0|100
DOM|Spanish|1|98
ECU|Spanish|1|93
EGY|Arabic|1|98.800003
SLV|Spanish|1|100
ERI|Tigrinja|1|49.099998
ESP|Spanish|1|74.400002
ZAF|Zulu|1|22.700001
ETH|Oromo|0|31
FLK|English|1|0
FJI|Fijian|1|50.799999
PHL|Pilipino|1|29.299999
FRO|Faroese|1|100
GAB|Fang|0|35.799999
GMB|Malinke|0|34.099998
GEO|Georgiana|1|71.699997
GHA|Akan|0|52.400002
GIB|English|1|88.900002
GRD|Creole English|0|100
GRL|Greenlandic|1|87.5
GLP|Creole French|0|95
GUM|English|1|37.5
GTM|Spanish|1|64.699997
GIN|Ful|0|38.599998
GNB|Crioulo|0|36.400002
GUY|Creole English|0|96.400002
HTI|Haiti Creole|0|100
HND|Spanish|1|97.199997
HKG|Canton Chinese|0|88.699997
SJM|Norwegian|1|0
IDN|Javanese|0|39.400002
IND|Hindi|1|39.900002
IRQ|Arabic|1|77.199997
IRN|Persian|1|45.700001
IRL|English|1|98.400002
ISL|Icelandic|1|95.699997
ISR|Hebrew|1|63.099998
ITA|Italian|1|94.099998
TMP|Sunda|0|0
AUT|German|1|92
JAM|Creole English|0|94.199997
JPN|Japanese|1|99.099998
YEM|Arabic|1|99.599998
JOR|Arabic|1|97.900002
CXR|Chinese|0|0
YUG|Serbo-Croatian|1|75.199997
KHM|Khmer|1|88.599998
CMR|Fang|0|19.700001
CAN|English|1|60.400002
CPV|Crioulo|0|100
KAZ|Kazakh|1|46
KEN|Kikuyu|0|20.9
CAF|Gbaya|0|23.799999
CHN|Chinese|1|92
KGZ|Kirgiz|1|59.700001
KIR|Kiribati|1|98.900002
COL|Spanish|1|99
COM|Comorian|1|75
COG|Kongo|0|51.5
COD|Luba|0|18
CCK|Malay|0|0
PRK|Korean|1|99.900002
KOR|Korean|1|99.900002
GRC|Greek|1|98.5
HRV|Serbo-Croatian|1|95.900002
CUB|Spanish|1|100
KWT|Arabic|1|78.099998
CYP|Greek|1|74.099998
LAO|Lao|1|67.199997
LVA|Latvian|1|55.099998
LSO|Sotho|1|85
LBN|Arabic|1|93
LBR|Kpelle|0|19.5
LBY|Arabic|1|96
LIE|German|1|89
LTU|Lithuanian|1|81.599998
LUX|Luxembourgish|1|64.400002
ESH|Arabic|1|100
MAC|Canton Chinese|0|85.599998
MDG|Malagasy|1|98.900002
MKD|Macedonian|1|66.5
MWI|Chichewa|1|58.299999
MDV|Dhivehi|1|100
MYS|Malay|1|58.400002
MLI|Bambara|0|31.799999
MLT|Maltese|1|95.800003
MAR|Arabic|1|65
MHL|Marshallese|1|96.800003
MTQ|Creole French|0|96.599998
MRT|Hassaniya|0|81.699997
MUS|Creole French|0|70.599998
MYT|Mahoré|0|41.900002
MEX|Spanish|1|92.099998
FSM|Trukese|0|41.599998
MDA|Romanian|1|61.900002
MCO|French|1|41.900002
MNG|Mongolian|1|78.800003
MSR|English|1|0
MOZ|Makua|0|27.799999
MMR|Burmese|1|69
NAM|Ovambo|0|50.700001
NRU|Nauru|1|57.5
NPL|Nepali|1|50.400002
NIC|Spanish|1|97.599998
NER|Hausa|0|53.099998
NGA|Joruba|0|21.4
NIU|Niue|0|0
NFK|English|1|0
NOR|Norwegian|1|96.599998
CIV|Akan|0|30
OMN|Arabic|1|76.699997
PAK|Punjabi|0|48.200001
PLW|Palau|1|82.199997
PAN|Spanish|1|76.800003
PNG|Papuan Languages|0|78.099998
PRY|Spanish|1|55.099998
PER|Spanish|1|79.800003
PCN|Pitcairnese|0|0
MNP|Philippene Languages|0|34.099998
PRT|Portuguese|1|99
PRI|Spanish|1|51.299999
POL|Polish|1|97.599998
GNQ|Fang|0|84.800003
QAT|Arabic|1|40.700001
FRA|French|1|93.599998
GUF|Creole French|0|94.300003
PYF|Tahitian|0|46.400002
REU|Creole French|0|91.5
ROM|Romanian|1|90.699997
RWA|Rwanda|1|100
SWE|Swedish|1|89.5
SHN|English|1|0
KNA|Creole English|0|100
LCA|Creole French|0|80
VCT|Creole English|0|99.099998
SPM|French|1|0
DEU|German|1|91.300003
SLB|Malenasian Languages|0|85.599998
ZMB|Bemba|0|29.700001
WSM|Samoan-English|0|52
SMR|Italian|1|100
STP|Crioulo|0|86.300003
SAU|Arabic|1|95
SEN|Wolof|1|48.099998
SYC|Seselwa|0|91.300003
SLE|Mende|0|34.799999
SGP|Chinese|1|77.099998
SVK|Slovak|1|85.599998
SVN|Slovene|1|87.900002
SOM|Somali|1|98.300003
LKA|Singali|1|60.299999
SDN|Arabic|1|49.400002
FIN|Finnish|1|92.699997
SUR|Sranantonga|0|81
SWZ|Swazi|1|89.900002
CHE|German|1|63.599998
SYR|Arabic|1|90
TJK|Tadzhik|1|62.200001
TWN|Min|0|66.699997
TZA|Nyamwesi|0|21.1
DNK|Danish|1|93.5
THA|Thai|1|52.599998
TGO|Ewe|1|23.200001
TKL|Tokelau|0|0
TON|Tongan|1|98.300003
TTO|English|0|93.5
TCD|Sara|0|27.700001
CZE|Czech|1|81.199997
TUN|Arabic|1|69.900002
TUR|Turkish|1|87.599998
TKM|Turkmenian|1|76.699997
TCA|English|1|0
TUV|Tuvalu|1|92.5
UGA|Ganda|0|18.1
UKR|Ukrainian|1|64.699997
HUN|Hungarian|1|98.5
URY|Spanish|1|95.699997
NCL|Malenasian Languages|0|45.400002
NZL|English|1|87
UZB|Uzbek|1|72.599998
BLR|Belorussian|1|65.599998
WLF|Wallis|0|0
VUT|Bislama|1|56.599998
VAT|Italian|1|0
VEN|Spanish|1|96.900002
RUS|Russian|1|86.599998
VNM|Vietnamese|1|86.800003
EST|Estonian|1|65.300003
USA|English|1|86.199997
VIR|English|1|81.699997
UMI|English|1|0
ZWE|Shona|0|72.099998
PSE|Arabic|0|95.900002
AFG|Dari|1|32.099998
NLD|Fries|0|3.7
ANT|English|0|7.8000002
ALB|Greek|0|1.8
DZA|Berberi|0|14
ASM|English|1|3.0999999
AND|Catalan|1|32.299999
AGO|Mbundu|0|21.6
ATG|English|1|0
ARE|Hindi|0|0
ARG|Italian|0|1.7
ARM|Azerbaijani|0|2.5999999
ABW|English|0|9.5
AUS|Italian|0|2.2
AZE|Russian|0|3
BHS|Creole French|0|10.3
BHR|English|0|0
BGD|Chakma|0|0.40000001
BRB|English|1|0
BEL|French|1|32.599998
BLZ|Spanish|0|31.6
BEN|Joruba|0|12.2
BTN|Nepali|0|34.799999
BOL|Ketšua|1|8.1000004
BWA|Shona|0|12.3
BRA|German|0|0.5
GBR|Kymri|0|0.89999998
BRN|Malay-English|0|28.799999
BGR|Turkish|0|9.3999996
BFA|Ful|0|9.6999998
BDI|French|1|0
CHL|Araucan|0|9.6000004
COK|English|0|0
CRI|Creole English|0|2
DJI|Afar|0|34.799999
DMA|Creole French|0|0
DOM|Creole French|0|2
ECU|Ketšua|0|7
EGY|Sinaberberi|0|0
SLV|Nahua|0|0
ERI|Tigre|0|31.700001
ESP|Catalan|0|16.9
ZAF|Xhosa|1|17.700001
ETH|Amhara|0|30
FJI|Hindi|0|43.700001
PHL|Cebuano|0|23.299999
FRO|Danish|1|0
GAB|Punu-sira-nzebi|0|17.1
GMB|Ful|0|16.200001
GEO|Russian|0|8.8000002
GHA|Mossi|0|15.8
GIB|Arabic|0|7.4000001
GRL|Danish|1|12.5
GLP|French|1|0
GUM|Chamorro|1|29.6
GTM|Quiché|0|10.1
GIN|Malinke|0|23.200001
GNB|Ful|0|16.6
GUY|Caribbean|0|2.2
HTI|French|1|0
HND|Garifuna|0|1.3
HKG|English|1|2.2
SJM|Russian|0|0
IDN|Sunda|0|15.8
IND|Bengali|0|8.1999998
IRQ|Kurdish|0|19
IRN|Azerbaijani|0|16.799999
IRL|Irish|1|1.6
ISL|English|0|0
ISR|Arabic|1|18
ITA|Sardinian|0|2.7
TMP|Portuguese|1|0
AUT|Serbo-Croatian|0|2.2
JAM|Hindi|0|1.9
JPN|Korean|0|0.5
YEM|Soqutri|0|0
JOR|Circassian|0|1
CXR|English|1|0
YUG|Albaniana|0|16.5
KHM|Vietnamese|0|5.5
CMR|Bamileke-bamum|0|18.6
CAN|French|1|23.4
CPV|Portuguese|1|0
KAZ|Russian|0|34.700001
KEN|Luhya|0|13.8
CAF|Banda|0|23.5
CHN|Zhuang|0|1.4
KGZ|Russian|1|16.200001
KIR|Tuvalu|0|0.5
COL|Chibcha|0|0.40000001
COM|Comorian-French|0|12.9
COG|Teke|0|17.299999
COD|Kongo|0|16
CCK|English|1|0
PRK|Chinese|0|0.1
KOR|Chinese|0|0.1
GRC|Turkish|0|0.89999998
HRV|Slovene|0|0
KWT|English|0|0
CYP|Turkish|1|22.4
LAO|Mon-khmer|0|16.5
LVA|Russian|0|32.5
LSO|Zulu|0|15
LBN|Armenian|0|5.9000001
LBR|Bassa|0|13.7
LBY|Berberi|0|1
LIE|Italian|0|2.5
LTU|Russian|0|8.1000004
LUX|Portuguese|0|13
MAC|Portuguese|1|2.3
MDG|French|1|0
MKD|Albaniana|0|22.9
MWI|Lomwe|0|18.4
MDV|English|0|0
MYS|Chinese|0|9
MLI|Ful|0|13.9
MLT|English|1|2.0999999
MAR|Berberi|0|33
MHL|English|1|0
MTQ|French|1|0
MRT|Wolof|0|6.5999999
MUS|Bhojpuri|0|21.1
MYT|French|1|20.299999
MEX|Náhuatl|0|1.8
FSM|Pohnpei|0|23.799999
MDA|Russian|0|23.200001
MCO|Monegasque|0|16.1
MNG|Kazakh|0|5.9000001
MOZ|Tsonga|0|12.4
MMR|Shan|0|8.5
NAM|Nama|0|12.4
NRU|Kiribati|0|17.9
NPL|Maithili|0|11.9
NIC|Miskito|0|1.6
NER|Songhai-zerma|0|21.200001
NGA|Hausa|0|21.1
NIU|English|1|0
NOR|English|0|0.5
CIV|Gur|0|11.7
OMN|Balochi|0|0
PAK|Pashto|0|13.1
PLW|Philippene Languages|0|9.1999998
PAN|Creole English|0|14
PNG|Malenasian Languages|0|20
PRY|Guaraní|1|40.099998
PER|Ketšua|1|16.4
MNP|Chamorro|0|30
PRI|English|0|47.400002
POL|German|0|1.3
GNQ|Bubi|0|8.6999998
QAT|Urdu|0|0
FRA|Arabic|0|2.5
GUF|Indian Languages|0|1.9
PYF|French|1|40.799999
REU|Chinese|0|2.8
ROM|Hungarian|0|7.1999998
RWA|French|1|0
SWE|Finnish|0|2.4000001
KNA|English|1|0
LCA|English|1|20
VCT|English|1|0
DEU|Turkish|0|2.5999999
SLB|Papuan Languages|0|8.6000004
ZMB|Tongan|0|11
WSM|Samoan|1|47.5
STP|French|0|0.69999999
SEN|Ful|0|21.700001
SYC|English|1|3.8
SLE|Temne|0|31.799999
SGP|Malay|1|14.1
SVK|Hungarian|0|10.5
SVN|Serbo-Croatian|0|7.9000001
SOM|Arabic|1|0
LKA|Tamil|1|19.6
SDN|Dinka|0|11.5
FIN|Swedish|1|5.6999998
SUR|Hindi|0|0
SWZ|Zulu|0|2
CHE|French|1|19.200001
SYR|Kurdish|0|9
TJK|Uzbek|0|23.200001
TWN|Mandarin Chinese|1|20.1
TZA|Swahili|1|8.8000002
DNK|Turkish|0|0.80000001
THA|Lao|0|26.9
